text,specialist
"Myocardial Infarction (Heart Attack): Defined as the irreversible necrosis of heart muscle secondary to prolonged ischemia. Causes usually involve the rupture of an atherosclerotic plaque leading to coronary artery thrombosis. Main symptoms include severe retrosternal chest pain radiating to the left arm or jaw, diaphoresis, and dyspnea. Diagnosis is confirmed via ECG changes (ST-elevation) and elevated cardiac troponins. Standard treatment involves reperfusion therapy (PCI or thrombolysis), antiplatelet agents (aspirin, P2Y12 inhibitors), and anticoagulation.",Cardiologist
"Type 2 Diabetes Mellitus: A metabolic disorder characterized by hyperglycemia resulting from insulin resistance and relative insulin deficiency. Risk factors include obesity, physical inactivity, and genetics. Symptoms include polydipsia, polyuria, unexplained weight loss, and blurred vision. Diagnosis is based on HbA1c levels >= 6.5% or fasting plasma glucose >= 126 mg/dL. Treatment begins with lifestyle modifications and Metformin, progressing to other oral antidiabetics (SGLT2 inhibitors, GLP-1 agonists) or insulin if refractory.",Endocrinologist
"Asthma: A chronic inflammatory disorder of the airways characterized by variable and recurring symptoms, airflow obstruction, and bronchial hyperresponsiveness. Causes include genetic predisposition and environmental triggers like allergens or pollution. Symptoms are wheezing, breathlessness, chest tightness, and coughing. Diagnosis involves spirometry showing reversible airflow limitation (improvement with bronchodilator). Treatment follows a step-wise approach using inhaled corticosteroids (ICS) and long-acting beta-agonists (LABA), with short-acting beta-agonists (SABA) for acute relief.",Pulmonologist
"Alzheimer's Disease: A progressive neurodegenerative disorder and the most common cause of dementia, characterized by the accumulation of amyloid-beta plaques and tau tangles. The primary risk factor is age. Symptoms include short-term memory loss, confusion, language difficulties, and behavioral changes. Diagnosis is clinical, supported by cognitive testing (MMSE) and neuroimaging (MRI/PET) to rule out other causes. Current treatment is symptomatic, utilizing cholinesterase inhibitors (donepezil) and NMDA receptor antagonists (memantine).",Neurologist
"Gastroesophageal Reflux Disease (GERD): A digestive disorder where stomach acid or bile irritates the food pipe lining. Caused by a weak lower esophageal sphincter (LES). Symptoms include heartburn, regurgitation, dysphagia, and chronic cough. Diagnosis is often clinical or confirmed via upper endoscopy and pH monitoring. Treatment involves lifestyle changes (weight loss, elevating head during sleep), proton pump inhibitors (PPIs), and H2 blockers. Surgery (Nissen fundoplication) is reserved for refractory cases.",Gastroenterologist
"Rheumatoid Arthritis: An autoimmune disease resulting in chronic systemic inflammation primarily affecting flexible joints. Causes involve a complex interplay of genetic (HLA-DRB1) and environmental factors. Symptoms include tender, warm, swollen joints, joint stiffness usually worse in the mornings and after inactivity, and fatigue. Diagnosis includes elevated Rheumatoid Factor (RF), anti-CCP antibodies, and elevated ESR/CRP. Treatment aims to induce remission using DMARDs (methotrexate), biologics (TNF inhibitors), and NSAIDs for pain control.",Rheumatologist
"""Acute Otitis Media: An infection of the middle ear, common in children. Often caused by bacteria like Streptococcus pneumoniae following a viral URI. Symptoms include otalgia (ear pain), fever, irritability, and temporary hearing loss. Diagnosis is made via otoscopy showing a bulging, erythematous tympanic membrane with reduced mobility. Treatment involves pain management (analgesics) and observation (""watchful waiting""); antibiotics (amoxicillin) are prescribed for severe cases or young children.""",Otolaryngologist
"Psoriasis: An immune-mediated disease that causes raised, red, scaly patches to appear on the skin. The underlying mechanism involves accelerated skin cell turnover. Triggers include stress, infections, and cold weather. Symptoms present as red patches of skin covered with thick, silvery scales, dry cracked skin, and itching. Diagnosis is typically clinical based on appearance. Treatment ranges from topical corticosteroids and vitamin D analogs to phototherapy and systemic biologics for extensive disease.",Dermatologist
"Major Depressive Disorder: A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Causes are multifactorial, involving biological, psychological, and social sources of distress. Symptoms include feelings of sadness, changes in appetite or sleep, fatigue, and suicidal ideation. Diagnosis requires criteria from DSM-5. Treatment involves psychotherapy (CBT), pharmacotherapy (SSRIs, SNRIs), or a combination of both.",Psychiatrist
"Chronic Kidney Disease (CKD): A longstanding disease of the kidneys leading to renal failure. Common causes are diabetes and hypertension. Symptoms are often absent in early stages; late stages present with edema, fatigue, nausea, and hematuria. Diagnosis is based on eGFR < 60 mL/min/1.73m2 for three months and albuminuria. Treatment focuses on managing underlying causes (blood pressure and glucose control) and complications; end-stage renal disease requires dialysis or kidney transplantation.",Nephrologist
"Appendicitis: Inflammation of the appendix. Typically caused by obstruction of the appendiceal lumen by a fecalith or lymphoid hyperplasia. Symptoms usually start with periumbilical pain migrating to the right lower quadrant, nausea, vomiting, and fever. Diagnosis involves physical signs (McBurney's point tenderness) and imaging (CT scan or Ultrasound). Standard treatment is surgical removal of the appendix (appendectomy) and prophylactic antibiotics.",General Surgeon
"Glaucoma: A group of eye conditions that damage the optic nerve, often caused by abnormally high pressure in the eye. It is a leading cause of blindness for people over 60. Symptoms in open-angle glaucoma are slow loss of peripheral vision; acute angle-closure glaucoma presents with severe eye pain, blurred vision, and halos around lights. Diagnosis involves tonometry (IOP measurement) and optic nerve imaging. Treatment includes prostaglandin analog eye drops, laser trabeculoplasty, or surgery to lower intraocular pressure.",Ophthalmologist
"Iron Deficiency Anemia: A condition where blood lacks adequate healthy red blood cells due to insufficient iron. Causes include blood loss (menstruation, ulcers), poor diet, or inability to absorb iron. Symptoms include extreme fatigue, weakness, pale skin, chest pain, and cold hands/feet. Diagnosis is confirmed by CBC showing low Hemoglobin and MCV, and low serum ferritin levels. Treatment involves oral iron supplements and addressing the underlying cause of blood loss.",Hematologist
"Hypothyroidism: A condition in which the thyroid gland usually does not produce enough thyroid hormone. The most common cause is Hashimoto's thyroiditis (autoimmune). Symptoms include fatigue, increased sensitivity to cold, constipation, dry skin, and weight gain. Diagnosis is confirmed by high TSH levels and low Free T4 levels in the blood. Standard treatment involves daily use of the synthetic thyroid hormone levothyroxine to restore adequate hormone levels.",Endocrinologist
"Urinary Tract Infection (UTI): An infection in any part of the urinary system, usually the bladder and urethra. Most often caused by E. coli bacteria. Symptoms include a strong urge to urinate, burning sensation when urinating, and cloudy or strong-smelling urine. Diagnosis is via urinalysis (leukocyte esterase, nitrites) and urine culture. Treatment typically involves a short course of antibiotics such as nitrofurantoin or trimethoprim/sulfamethoxazole.",Urologist
"Migraine: A neurological condition characterized by intense, debilitating headaches. Causes are believed to be genetic and environmental. Symptoms include severe throbbing pain usually on one side of the head, nausea, and sensitivity to light (photophobia) and sound. Diagnosis is based on clinical history and exclusion of other headaches. Treatment includes abortive medications (triptans, NSAIDs) and preventive medications (beta-blockers, topiramate, CGRP inhibitors).",Neurologist
"Celiac Disease: An immune reaction to eating gluten, a protein found in wheat, barley, and rye. In affected individuals, eating gluten triggers an immune response in the small intestine. Symptoms include diarrhea, bloating, gas, fatigue, and weight loss. Diagnosis involves serologic tests (tTG-IgA) followed by a duodenal biopsy. The only effective treatment is a strict, lifelong gluten-free diet.",Gastroenterologist
"Endometriosis: A disorder in which tissue similar to the tissue that normally lines the inside of the uterus grows outside the uterus. The exact cause is unknown but may involve retrograde menstruation. Symptoms involve pelvic pain (often associated with menstruation), pain with intercourse, and infertility. Diagnosis is suspected clinically but confirmed via laparoscopy. Treatment includes pain medication, hormonal therapy (birth control pills, GnRH agonists), or surgery to remove tissue.",Gynecologist
"Deep Vein Thrombosis (DVT): The formation of a blood clot in a deep vein, most commonly in the legs. Risk factors include prolonged immobility, surgery, and malignancy. Symptoms include swelling in the affected leg, pain/cramping, and red or discolored skin. Diagnosis is performed via compression ultrasonography and D-dimer testing. Treatment focuses on anticoagulation (heparin, warfarin, DOACs) to prevent the clot from growing or traveling to the lungs (pulmonary embolism).",Vascular Specialist
"Atrial Fibrillation (AFib): An irregular and often very rapid heart rhythm (arrhythmia) that can lead to blood clots in the heart. Causes include hypertension, heart defects, and stimulant use. Symptoms are palpitations, shortness of breath, and fatigue. Diagnosis is confirmed by Electrocardiogram (ECG) showing absent P-waves and irregular R-R intervals. Treatment focuses on rate control (beta-blockers), rhythm control (antiarrhythmics), and stroke prevention via anticoagulants.",Cardiologist
"Chronic Obstructive Pulmonary Disease (COPD): A chronic inflammatory lung disease that causes obstructed airflow from the lungs. Primary cause is long-term exposure to irritating gases or particulate matter, most often from cigarette smoke. Symptoms include breathing difficulty, cough, mucus (sputum) production, and wheezing. Diagnosis is confirmed via Spirometry. Treatment involves smoking cessation, bronchodilators, inhaled steroids, and oxygen therapy in severe cases.",Pulmonologist
"Parkinson's Disease: A progressive nervous system disorder that affects movement, caused by the loss of dopamine-producing neurons in the substantia nigra. Symptoms include tremors (resting), bradykinesia (slowness of movement), limb rigidity, and gait/balance problems. Diagnosis is clinical, based on symptoms and response to medication. Standard treatment involves Levodopa/Carbidopa to replenish dopamine and dopamine agonists.",Neurologist
"Crohn's Disease: A type of inflammatory bowel disease (IBD) that causes inflammation of the digestive tract, which can lead to abdominal pain, severe diarrhea, fatigue, weight loss, and malnutrition. The exact cause is immune-mediated. Diagnosis involves colonoscopy with biopsy and imaging (CT/MRI enterography). Treatment includes corticosteroids for flares, immunomodulators, and biologic therapies (anti-TNF agents) to maintain remission.",Gastroenterologist
"Bipolar Disorder: A mental health condition that causes extreme mood swings that include emotional highs (mania or hypomania) and lows (depression). Biological differences and genetics play a role. Symptoms range from racing thoughts and risky behavior in mania to hopelessness in depression. Diagnosis is clinical per DSM-5 criteria. Treatment typically involves mood stabilizers (Lithium, Valproate), antipsychotics, and psychotherapy.",Psychiatrist
"Atopic Dermatitis (Eczema): A condition that makes skin red and itchy. It is common in children but can occur at any age. Associated with a variation in the FLG gene and immune system dysfunction. Symptoms include dry skin, severe itching (especially at night), and red to brownish-gray patches. Diagnosis is usually clinical. Treatment includes avoiding triggers, daily moisturizing, topical corticosteroids, and calcineurin inhibitors.",Dermatologist
"Hyperthyroidism (Graves' Disease): An immune system disorder that results in the overproduction of thyroid hormones (thyrotoxicosis). Caused by thyroid-stimulating immunoglobulins (TSI). Symptoms include weight loss despite increased appetite, rapid heartbeat, sweating, and tremors. Diagnosis is based on low TSH and high Free T4 levels. Treatment options are antithyroid medications (methimazole), radioactive iodine therapy, or thyroidectomy.",Endocrinologist
"Cataracts: Clouding of the normally clear lens of the eye. Most cataracts develop slowly over the course of aging. Symptoms include clouded or blurred vision, increasing difficulty with vision at night, sensitivity to light and glare, and fading of colors. Diagnosis is performed via a slit-lamp examination. The only effective treatment is surgery to remove the clouded lens and replace it with an artificial intraocular lens (IOL).",Ophthalmologist
