text
"Panic disorder: symptoms include anxiety, chest pain, shortness of breath."
"Depression: symptoms include insomnia, anxiety, fatigue."
"Asthma: symptoms include shortness of breath, cough."
"Diabetes: symptoms include frequent urination, excessive thirst, fatigue."
"Hypertension: symptoms include headache, dizziness, blurred vision."
"Anemia: symptoms include fatigue, weakness, pale skin."
"Pneumonia: symptoms include fever, cough, chest pain."
"Migraine: symptoms include severe headache, nausea, light sensitivity."
"Anxiety disorder: symptoms include excessive worry, restlessness, fatigue."
"Chronic bronchitis: symptoms include chronic cough, mucus production, wheezing."
"Emphysema: symptoms include shortness of breath, chronic cough, fatigue."
"Heart attack: symptoms include chest pain, shortness of breath, nausea."
"Heart failure: symptoms include swelling, shortness of breath, fatigue."
"Arrhythmia: symptoms include irregular heartbeat, dizziness, chest discomfort."
"Stroke: symptoms include facial drooping, arm weakness, speech difficulty."
"Epilepsy: symptoms include seizures, confusion, loss of consciousness."
"Alzheimer’s disease: symptoms include memory loss, confusion, mood changes."
"Parkinson’s disease: symptoms include tremor, stiffness, slow movement."
"Multiple sclerosis: symptoms include vision problems, weakness, coordination issues."
"Rheumatoid arthritis: symptoms include joint pain, swelling, stiffness."
"Osteoarthritis: symptoms include joint pain, stiffness, limited mobility."
"Osteoporosis: symptoms include bone weakness, fractures, back pain."
"Gout: symptoms include sudden joint pain, swelling, redness."
"Lupus: symptoms include fatigue, joint pain, skin rash."
"Fibromyalgia: symptoms include widespread pain, fatigue, sleep problems."
"Chronic fatigue syndrome: symptoms include extreme fatigue, poor concentration, headaches."
"Irritable bowel syndrome: symptoms include abdominal pain, bloating, diarrhea."
"Crohn’s disease: symptoms include diarrhea, abdominal pain, weight loss."
"Ulcerative colitis: symptoms include bloody diarrhea, abdominal cramps, fatigue."
"Gastritis: symptoms include stomach pain, nausea, vomiting."
"Peptic ulcer disease: symptoms include burning stomach pain, bloating, heartburn."
"GERD: symptoms include heartburn, chest pain, regurgitation."
"Hepatitis: symptoms include jaundice, fatigue, abdominal pain."
"Liver cirrhosis: symptoms include swelling, fatigue, jaundice."
"Pancreatitis: symptoms include severe abdominal pain, nausea, vomiting."
"Gallstones: symptoms include upper abdominal pain, nausea, indigestion."
"Kidney stones: symptoms include severe flank pain, blood in urine, nausea."
"Chronic kidney disease: symptoms include fatigue, swelling, changes in urination."
"Urinary tract infection: symptoms include painful urination, frequent urination, urgency."
"Bladder infection: symptoms include pelvic pain, burning urination, cloudy urine."
"Prostate enlargement: symptoms include weak urine stream, frequent urination, urgency."
"Erectile dysfunction: symptoms include difficulty maintaining erection, reduced libido."
"Polycystic ovary syndrome: symptoms include irregular periods, acne, weight gain."
"Endometriosis: symptoms include pelvic pain, painful periods, infertility."
"Menopause: symptoms include hot flashes, mood changes, night sweats."
"Hypothyroidism: symptoms include weight gain, fatigue, cold intolerance."
"Hyperthyroidism: symptoms include weight loss, anxiety, rapid heartbeat."
"Goiter: symptoms include neck swelling, hoarseness, difficulty swallowing."
"Obesity: symptoms include excessive body weight, fatigue, joint pain."
"Metabolic syndrome: symptoms include high blood pressure, high blood sugar, obesity."
"Vitamin D deficiency: symptoms include bone pain, muscle weakness, fatigue."
"Vitamin B12 deficiency: symptoms include numbness, fatigue, memory problems."
"Scurvy: symptoms include bleeding gums, weakness, bruising."
"Seasonal allergies: symptoms include sneezing, runny nose, itchy eyes."
"Food allergy: symptoms include hives, swelling, nausea."
"Eczema: symptoms include itchy skin, redness, dryness."
"Psoriasis: symptoms include scaly skin patches, itching, joint pain."
"Acne: symptoms include pimples, oily skin, inflammation."
"Rosacea: symptoms include facial redness, flushing, visible blood vessels."
"Skin cancer: symptoms include changing moles, skin lesions, bleeding."
"Melanoma: symptoms include irregular mole shape, color changes, itching."
"Conjunctivitis: symptoms include red eyes, itching, discharge."
"Cataracts: symptoms include blurred vision, glare sensitivity, cloudy vision."
"Glaucoma: symptoms include eye pain, vision loss, headaches."
"Macular degeneration: symptoms include central vision loss, blurred vision."
"Otitis media: symptoms include ear pain, fever, hearing loss."
"Tinnitus: symptoms include ringing ears, buzzing sounds, hearing difficulty."
"Sinusitis: symptoms include facial pain, nasal congestion, headache."
"Common cold: symptoms include sneezing, sore throat, runny nose."
"Influenza: symptoms include fever, muscle aches, fatigue."
"COVID-19: symptoms include fever, cough, loss of taste."
"Tuberculosis: symptoms include chronic cough, weight loss, night sweats."
"Mononucleosis: symptoms include sore throat, fever, swollen lymph nodes."
"HIV infection: symptoms include fever, fatigue, swollen glands."
"AIDS: symptoms include severe infections, weight loss, chronic fatigue."
"Sepsis: symptoms include fever, rapid heartbeat, confusion."
"Leukemia: symptoms include fatigue, frequent infections, bruising."
"Lymphoma: symptoms include swollen lymph nodes, fever, night sweats."
"Breast cancer: symptoms include breast lump, pain, nipple discharge."
"Lung cancer: symptoms include chronic cough, chest pain, weight loss."
"Colon cancer: symptoms include blood in stool, abdominal pain, anemia."
"Prostate cancer: symptoms include urinary issues, bone pain, weight loss."
